50
599,-1,0;515,-1,1;431,-1,2;347,-1,3;263,-1,4;179,-1,5;95,-1,6;179,-1,7;263,-1,8;347,-1,9;431,-1,10;515,-1,11;599,-1,12;683,-1,13;767,-1,14;851,-1,15;935,-1,16;1019,-1,17;1103,-1,18;1187,-1,19;1271,-1,20;1355,-1,21;1439,-1,22;1523,-1,23;1607,-1,24;1691,-1,25;1775,-1,26;1607,-1,27;
7349,-1,0;7433,-1,1;7517,-1,2;7601,-1,3;7685,-1,4;7769,-1,5;7853,-1,6;7937,-1,7;8021,-1,8;8105,-1,9;8189,-1,10;8273,-1,11;8357,-1,12;8441,-1,13;8525,-1,14;8609,-1,15;8693,-1,16;8777,-1,17;8861,-1,18;8945,-1,19;9029,-1,20;9113,-1,21;9197,-1,22;9281,-1,23;9365,-1,24;9449,-1,25;9533,-1,26;9365,-1,27;
148,-1,0;232,-1,1;316,-1,2;400,-1,3;484,-1,4;568,-1,5;652,-1,6;736,-1,7;820,-1,8;904,-1,9;988,-1,10;1072,-1,11;1156,-1,12;1240,-1,13;1324,-1,14;1408,-1,15;1492,-1,16;1576,-1,17;1660,-1,18;1744,-1,19;1828,-1,20;1912,-1,21;1996,-1,22;2080,-1,23;2164,-1,24;2163,-1,25;2162,-1,26;2164,-1,27;
8594,-1,0;8678,-1,1;8762,-1,2;8846,-1,3;8930,-1,4;9014,-1,5;9098,-1,6;9182,-1,7;9266,-1,8;9350,-1,9;9434,-1,10;9518,-1,11;9602,-1,12;9686,-1,13;9770,-1,14;9854,-1,15;9938,-1,16;10022,-1,17;10106,-1,18;10190,-1,19;10274,-1,20;10358,-1,21;10442,-1,22;10526,-1,23;10610,-1,24;10694,-1,25;10778,-1,26;10610,-1,27;
1239,-1,0;1155,-1,1;1071,-1,2;987,-1,3;903,-1,4;819,-1,5;735,-1,6;651,-1,7;567,-1,8;483,-1,9;399,-1,10;315,-1,11;231,-1,12;147,-1,13;231,-1,14;315,-1,15;399,-1,16;483,-1,17;567,-1,18;651,-1,19;735,-1,20;819,-1,21;903,-1,22;987,-1,23;1071,-1,24;1155,-1,25;1239,-1,26;1071,-1,27;
12137,-1,0;12221,-1,1;12305,-1,2;12389,-1,3;12473,-1,4;12557,-1,5;12641,-1,6;12725,-1,7;12809,-1,8;12893,-1,9;12977,-1,10;13061,-1,11;13145,-1,12;13229,-1,13;13313,-1,14;13397,-1,15;13481,-1,16;13565,-1,17;13649,-1,18;13733,-1,19;13817,-1,20;13901,-1,21;13985,-1,22;14069,-1,23;14068,-1,24;14067,-1,25;14066,-1,26;14068,-1,27;
2602,-1,0;2518,-1,1;2434,-1,2;2350,-1,3;2266,-1,4;2182,-1,5;2098,-1,6;2014,-1,7;1930,-1,8;1846,-1,9;1762,-1,10;1678,-1,11;1594,-1,12;1510,-1,13;1426,-1,14;1342,-1,15;1258,-1,16;1174,-1,17;1090,-1,18;1006,-1,19;922,-1,20;838,-1,21;754,-1,22;670,-1,23;586,-1,24;502,-1,25;418,-1,26;586,-1,27;
646,-1,0;730,-1,1;814,-1,2;898,-1,3;982,-1,4;1066,-1,5;1150,-1,6;1234,-1,7;1318,-1,8;1402,-1,9;1486,-1,10;1570,-1,11;1654,-1,12;1738,-1,13;1822,-1,14;1823,-1,15;1907,-1,16;1991,-1,17;2075,-1,18;2159,-1,19;2160,-1,20;2161,-1,21;2245,-1,22;2329,-1,23;2413,-1,24;2497,-1,25;2581,-1,26;2413,-1,27;
1804,-1,0;1720,-1,1;1636,-1,2;1552,-1,3;1468,-1,4;1384,-1,5;1300,-1,6;1216,-1,7;1132,-1,8;1048,-1,9;964,-1,10;880,-1,11;796,-1,12;712,-1,13;628,-1,14;544,-1,15;460,-1,16;376,-1,17;292,-1,18;208,-1,19;124,-1,20;208,-1,21;292,-1,22;376,-1,23;460,-1,24;544,-1,25;628,-1,26;460,-1,27;
9249,-1,0;9333,-1,1;9417,-1,2;9501,-1,3;9585,-1,4;9669,-1,5;9753,-1,6;9837,-1,7;9921,-1,8;10005,-1,9;10089,-1,10;10173,-1,11;10174,-1,12;10258,-1,13;10342,-1,14;10426,-1,15;10510,-1,16;10594,-1,17;10678,-1,18;10762,-1,19;10846,-1,20;10930,-1,21;11014,-1,22;11098,-1,23;11182,-1,24;11266,-1,25;11350,-1,26;11182,-1,27;
10382,-1,0;10298,-1,1;10214,-1,2;10130,-1,3;10046,-1,4;9962,-1,5;9878,-1,6;9794,-1,7;9710,-1,8;9626,-1,9;9542,-1,10;9458,-1,11;9374,-1,12;9290,-1,13;9206,-1,14;9122,-1,15;9038,-1,16;8954,-1,17;8870,-1,18;8786,-1,19;8702,-1,20;8618,-1,21;8534,-1,22;8450,-1,23;8366,-1,24;8282,-1,25;8198,-1,26;8366,-1,27;
6009,-1,0;6093,-1,1;6177,-1,2;6261,-1,3;6345,-1,4;6429,-1,5;6513,-1,6;6597,-1,7;6681,-1,8;6765,-1,9;6849,-1,10;6933,-1,11;7017,-1,12;7101,-1,13;7185,-1,14;7269,-1,15;7353,-1,16;7437,-1,17;7521,-1,18;7605,-1,19;7689,-1,20;7773,-1,21;7857,-1,22;7941,-1,23;8025,-1,24;8109,-1,25;8193,-1,26;8025,-1,27;
602,-1,0;518,-1,1;434,-1,2;350,-1,3;266,-1,4;182,-1,5;98,-1,6;182,-1,7;266,-1,8;350,-1,9;434,-1,10;518,-1,11;602,-1,12;686,-1,13;770,-1,14;854,-1,15;938,-1,16;1022,-1,17;1106,-1,18;1190,-1,19;1274,-1,20;1358,-1,21;1442,-1,22;1526,-1,23;1610,-1,24;1694,-1,25;1778,-1,26;1610,-1,27;
