20
3128,-1,0;3044,-1,1;3045,-1,2;2961,-1,3;2877,-1,4;2793,-1,5;2709,-1,6;2625,-1,7;2541,-1,8;2457,-1,9;2373,-1,10;2289,-1,11;2205,-1,12;
3048,-1,0;3132,-1,1;3131,-1,2;3130,-1,3;3214,-1,4;3298,-1,5;3382,-1,6;3466,-1,7;3550,-1,8;3634,-1,9;3718,-1,10;3802,-1,11;3886,-1,12;
10278,-1,0;10194,-1,1;10110,-1,2;10026,-1,3;9942,-1,4;9858,-1,5;9774,-1,6;9690,-1,7;9606,-1,8;9522,-1,9;9438,-1,10;9354,-1,11;9270,-1,12;
6068,-1,0;6152,-1,1;6153,-1,2;6237,-1,3;6321,-1,4;6405,-1,5;6489,-1,6;6573,-1,7;6657,-1,8;6741,-1,9;6825,-1,10;6909,-1,11;6993,-1,12;
599,-1,0;515,-1,1;431,-1,2;347,-1,3;263,-1,4;179,-1,5;95,-1,6;179,-1,7;263,-1,8;347,-1,9;431,-1,10;515,-1,11;599,-1,12;
9706,-1,0;9790,-1,1;9874,-1,2;9958,-1,3;10042,-1,4;10126,-1,5;10210,-1,6;10294,-1,7;10378,-1,8;10462,-1,9;10546,-1,10;10630,-1,11;10714,-1,12;
10842,-1,0;10758,-1,1;10674,-1,2;10590,-1,3;10506,-1,4;10422,-1,5;10338,-1,6;10254,-1,7;10170,-1,8;10086,-1,9;10002,-1,10;9918,-1,11;9834,-1,12;
9746,-1,0;9830,-1,1;9914,-1,2;9998,-1,3;10082,-1,4;10166,-1,5;10250,-1,6;10334,-1,7;10418,-1,8;10502,-1,9;10586,-1,10;10670,-1,11;10754,-1,12;
5789,-1,0;5705,-1,1;5621,-1,2;5537,-1,3;5453,-1,4;5369,-1,5;5285,-1,6;5201,-1,7;5117,-1,8;5033,-1,9;4949,-1,10;4865,-1,11;4781,-1,12;
2914,-1,0;2998,-1,1;3082,-1,2;3166,-1,3;3250,-1,4;3334,-1,5;3418,-1,6;3502,-1,7;3586,-1,8;3670,-1,9;3754,-1,10;3838,-1,11;3922,-1,12;
8741,-1,0;8657,-1,1;8573,-1,2;8489,-1,3;8405,-1,4;8321,-1,5;8237,-1,6;8153,-1,7;8069,-1,8;7985,-1,9;7901,-1,10;7817,-1,11;7733,-1,12;
3134,-1,0;3218,-1,1;3302,-1,2;3386,-1,3;3470,-1,4;3554,-1,5;3638,-1,6;3722,-1,7;3806,-1,8;3890,-1,9;3974,-1,10;4058,-1,11;4142,-1,12;
1762,-1,0;1678,-1,1;1594,-1,2;1510,-1,3;1426,-1,4;1342,-1,5;1258,-1,6;1174,-1,7;1090,-1,8;1006,-1,9;922,-1,10;838,-1,11;754,-1,12;
11199,-1,0;11200,-1,1;11201,-1,2;11285,-1,3;11369,-1,4;11453,-1,5;11537,-1,6;11621,-1,7;11705,-1,8;11789,-1,9;11873,-1,10;11957,-1,11;12041,-1,12;
1687,-1,0;1603,-1,1;1519,-1,2;1435,-1,3;1351,-1,4;1267,-1,5;1183,-1,6;1099,-1,7;1015,-1,8;931,-1,9;847,-1,10;763,-1,11;679,-1,12;
9770,-1,0;9854,-1,1;9938,-1,2;10022,-1,3;10106,-1,4;10190,-1,5;10274,-1,6;10358,-1,7;10442,-1,8;10526,-1,9;10610,-1,10;10694,-1,11;10778,-1,12;
866,-1,0;782,-1,1;698,-1,2;614,-1,3;530,-1,4;446,-1,5;362,-1,6;278,-1,7;194,-1,8;110,-1,9;194,-1,10;278,-1,11;362,-1,12;
5942,-1,0;6026,-1,1;6110,-1,2;6194,-1,3;6278,-1,4;6362,-1,5;6446,-1,6;6530,-1,7;6614,-1,8;6698,-1,9;6782,-1,10;6866,-1,11;6950,-1,12;
3338,-1,0;3254,-1,1;3170,-1,2;3086,-1,3;3002,-1,4;2918,-1,5;2834,-1,6;2750,-1,7;2666,-1,8;2582,-1,9;2498,-1,10;2414,-1,11;2330,-1,12;
720,-1,0;804,-1,1;888,-1,2;972,-1,3;1056,-1,4;1140,-1,5;1224,-1,6;1308,-1,7;1392,-1,8;1476,-1,9;1560,-1,10;1644,-1,11;1728,-1,12;
