50
4127,0,;94,-1,;
1087,0,;14179,-1,;
12834,0,;150,-1,;
776,0,;14164,-1,;
12489,0,;141,-1,;
3116,0,;14168,-1,;
13206,0,;102,-1,;
6001,0,;14142,-1,;
14065,0,;121,-1,;
707,0,;14153,-1,;
2709,0,;105,-1,;
13303,0,;14181,-1,;
11254,0,;166,-1,;
9192,0,;14131,-1,;
2673,0,;153,-1,;
9753,0,;14135,-1,;
4817,0,;113,-1,;
1165,0,;14137,-1,;
1714,0,;118,-1,;
6469,0,;14131,-1,;
844,0,;88,-1,;
2654,0,;14166,-1,;
494,0,;158,-1,;14171,-1,;
3381,0,;14123,-1,;
4998,0,;126,-1,;
1487,0,;14167,-1,;
5485,0,;109,-1,;
12698,0,;14125,-1,;
10881,0,;129,-1,;
4566,0,;14126,-1,;
13579,0,;138,-1,;
7124,0,;14185,-1,;
379,0,;127,-1,;14159,-1,;
10197,0,;14129,-1,;
2021,0,;89,-1,;
5374,0,;14150,-1,;
11169,0,;165,-1,;
7127,0,;14125,-1,;
1735,0,;139,-1,;
2095,0,;14116,-1,;
13639,0,;114,-1,;
11139,0,;14145,-1,;
1789,0,;108,-1,;
11745,0,;14168,-1,;
7155,0,;98,-1,;
3862,0,;14113,-1,;
3745,0,;133,-1,;
6693,0,;14132,-1,;
151,0,;151,0,;14123,-1,;
4070,0,;14169,-1,;
