map,solver,w,h,throughput,runtime,avg_collisions,success_rate
sorting,ECBS,20,3,134.0,0.08243682587064677,0.15671641791044774,1.0
sorting,ECBS,20,5,80.0,0.08498343333333334,0.09999999999999999,1.0
sorting,ECBS,20,8,50.0,0.08769888666666666,0.24,1.0
sorting,ECBS,40,3,134.0,0.14927746517412938,0.017412935323383085,1.0
sorting,ECBS,40,5,80.0,0.15181081249999998,0.025000000000000005,1.0
sorting,ECBS,40,8,50.0,0.15739608666666666,0.03333333333333333,1.0
sorting,ECBS,60,3,134.0,0.21317770646766168,0.0,1.0
sorting,ECBS,60,5,80.0,0.21731665416666668,0.008333333333333333,1.0
sorting,ECBS,60,8,50.0,0.23098218666666667,0.02666666666666667,1.0
sorting,PBS,20,3,134.0,0.018091074626865673,2.7661691542288556,1.0
sorting,PBS,20,5,80.0,0.019654645833333335,2.983333333333333,1.0
sorting,PBS,20,8,50.0,0.02235609333333333,3.813333333333334,1.0
sorting,PBS,40,3,134.0,0.01938901243781094,2.972636815920398,1.0
sorting,PBS,40,5,80.0,0.021066854166666666,3.6875,1.0
sorting,PBS,40,8,50.0,0.024706493333333333,4.8,1.0
sorting,PBS,60,3,134.0,0.019051241293532337,2.9776119402985075,1.0
sorting,PBS,60,5,80.0,0.021305445833333336,3.841666666666667,1.0
sorting,PBS,60,8,50.0,0.025442453333333337,4.866666666666667,1.0
sorting,WHCA,20,3,134.0,0.04127940049751244,0.0,1.0
sorting,WHCA,20,5,80.0,0.043118616666666665,0.0,1.0
sorting,WHCA,20,8,50.0,0.04694781333333334,0.0,1.0
sorting,WHCA,40,3,134.0,0.05307032089552239,0.0,1.0
sorting,WHCA,40,5,80.0,0.05686765416666667,0.0,1.0
sorting,WHCA,40,8,50.0,0.06256577333333334,0.0,1.0
sorting,WHCA,60,3,134.0,0.057189278606965176,0.0,1.0
sorting,WHCA,60,5,80.0,0.062126412500000006,0.0,1.0
sorting,WHCA,60,8,50.0,0.06738695333333333,0.0,1.0
warehouse,WHCA,20,3,13.666666666666666,81.05900396581197,0.0,1.0
warehouse,WHCA,20,5,8.333333333333334,81.77264750724638,0.0,1.0
warehouse,WHCA,20,8,5.666666666666667,82.69985542222223,0.0,1.0
warehouse,WHCA,40,3,20.0,61.60597053846154,0.0,0.6666666666666666
warehouse,WHCA,40,5,8.333333333333334,81.78283869565217,0.0,1.0
warehouse,WHCA,40,8,5.666666666666667,82.71008875555556,0.0,1.0
warehouse,WHCA,60,3,1.0,120.001,0.0,0.6666666666666666
warehouse,WHCA,60,5,1.0,120.001,0.0,0.3333333333333333
warehouse,WHCA,60,8,1.0,120.0005,0.0,0.6666666666666666
