50
2674,-1,0;2590,-1,1;2506,-1,2;2422,-1,3;2338,-1,4;2254,-1,5;2170,-1,6;2086,-1,7;2002,-1,8;1918,-1,9;1834,-1,10;1750,-1,11;1666,-1,12;1582,-1,13;1498,-1,14;1414,-1,15;1330,-1,16;1246,-1,17;1162,-1,18;1078,-1,19;994,-1,20;910,-1,21;826,-1,22;742,-1,23;658,-1,24;574,-1,25;490,-1,26;406,-1,27;322,-1,28;238,-1,29;154,-1,30;238,-1,31;322,-1,32;406,-1,33;490,-1,34;574,-1,35;658,-1,36;742,-1,37;826,-1,38;910,-1,39;994,-1,40;1078,-1,41;1162,-1,42;1246,-1,43;1330,-1,44;1414,-1,45;1498,-1,46;1582,-1,47;1666,-1,48;1750,-1,49;1834,-1,50;1918,-1,51;2002,-1,52;2086,-1,53;2170,-1,54;2254,-1,55;2338,-1,56;2422,-1,57;2506,-1,58;2590,-1,59;2674,-1,60;2758,-1,61;2842,-1,62;2926,-1,63;3010,-1,64;3094,-1,65;3178,-1,66;3262,-1,67;3346,-1,68;3430,-1,69;3514,-1,70;3598,-1,71;3682,-1,72;3766,-1,73;3850,-1,74;3934,-1,75;4018,-1,76;4102,-1,77;4186,-1,78;4270,-1,79;4354,-1,80;4438,-1,81;4522,-1,82;4606,-1,83;4690,-1,84;4774,-1,85;4858,-1,86;4942,-1,87;5026,-1,88;5110,-1,89;5194,-1,90;5278,-1,91;5362,-1,92;5446,-1,93;5530,-1,94;5614,-1,95;5698,-1,96;5782,-1,97;5866,-1,98;5950,-1,99;6034,-1,100;6118,-1,101;6202,-1,102;6286,-1,103;6370,-1,104;6454,-1,105;6538,-1,106;6622,-1,107;6706,-1,108;6790,-1,109;6874,-1,110;
8409,-1,0;8493,-1,1;8577,-1,2;8661,-1,3;8745,-1,4;8829,-1,5;8913,-1,6;8997,-1,7;9081,-1,8;9165,-1,9;9249,-1,10;9333,-1,11;9417,-1,12;9501,-1,13;9585,-1,14;9669,-1,15;9753,-1,16;9837,-1,17;9921,-1,18;10005,-1,19;10089,-1,20;10173,-1,21;10257,-1,22;10341,-1,23;10425,-1,24;10509,-1,25;10593,-1,26;10677,-1,27;10761,-1,28;10845,-1,29;10929,-1,30;11013,-1,31;11097,-1,32;11181,-1,33;11265,-1,34;11349,-1,35;11433,-1,36;11517,-1,37;11601,-1,38;11685,-1,39;11769,-1,40;11853,-1,41;11937,-1,42;12021,-1,43;12105,-1,44;12189,-1,45;12273,-1,46;12357,-1,47;12441,-1,48;12525,-1,49;12609,-1,50;12693,-1,51;12777,-1,52;12861,-1,53;12945,-1,54;13029,-1,55;13113,-1,56;13197,-1,57;13281,-1,58;13365,-1,59;13449,-1,60;13533,-1,61;13617,-1,62;13701,-1,63;13785,-1,64;13869,-1,65;13953,-1,66;14037,-1,67;14038,-1,68;14039,-1,69;14040,-1,70;14124,-1,71;14125,-1,72;14126,-1,73;14127,-1,74;14128,-1,75;14129,-1,76;14130,-1,77;14131,-1,78;14132,-1,79;14133,-1,80;14134,-1,81;14135,-1,82;14136,-1,83;14137,-1,84;14138,-1,85;14139,-1,86;14140,-1,87;14141,-1,88;14142,-1,89;14143,-1,90;14144,-1,91;14145,-1,92;14146,-1,93;14147,-1,94;14148,-1,95;14149,-1,96;14150,-1,97;14151,-1,98;14152,-1,99;14153,-1,100;14154,-1,101;14153,-1,102;14069,-1,103;13985,-1,104;13901,-1,105;13817,-1,106;13733,-1,107;13649,-1,108;13565,-1,109;13481,-1,110;
4630,-1,0;4546,-1,1;4462,-1,2;4378,-1,3;4294,-1,4;4210,-1,5;4126,-1,6;4042,-1,7;3958,-1,8;3874,-1,9;3790,-1,10;3706,-1,11;3622,-1,12;3538,-1,13;3454,-1,14;3370,-1,15;3286,-1,16;3202,-1,17;3118,-1,18;3034,-1,19;2950,-1,20;2866,-1,21;2782,-1,22;2698,-1,23;2614,-1,24;2530,-1,25;2446,-1,26;2362,-1,27;2278,-1,28;2194,-1,29;2110,-1,30;2026,-1,31;1942,-1,32;1858,-1,33;1774,-1,34;1690,-1,35;1606,-1,36;1522,-1,37;1438,-1,38;1354,-1,39;1270,-1,40;1186,-1,41;1102,-1,42;1018,-1,43;934,-1,44;850,-1,45;766,-1,46;682,-1,47;598,-1,48;514,-1,49;430,-1,50;346,-1,51;262,-1,52;178,-1,53;94,-1,54;178,-1,55;262,-1,56;346,-1,57;430,-1,58;514,-1,59;598,-1,60;682,-1,61;766,-1,62;850,-1,63;934,-1,64;1018,-1,65;1102,-1,66;1186,-1,67;1270,-1,68;1354,-1,69;1438,-1,70;1522,-1,71;1606,-1,72;1690,-1,73;1774,-1,74;1858,-1,75;1942,-1,76;2026,-1,77;2110,-1,78;2194,-1,79;2278,-1,80;2362,-1,81;2446,-1,82;2530,-1,83;2614,-1,84;2698,-1,85;2782,-1,86;2866,-1,87;2950,-1,88;3034,-1,89;3118,-1,90;3202,-1,91;3286,-1,92;3370,-1,93;3454,-1,94;3538,-1,95;3622,-1,96;3706,-1,97;3790,-1,98;3874,-1,99;3958,-1,100;4042,-1,101;4126,-1,102;4210,-1,103;4294,-1,104;4378,-1,105;4462,-1,106;4546,-1,107;4630,-1,108;4714,-1,109;4798,-1,110;
4073,-1,0;4157,-1,1;4241,-1,2;4325,-1,3;4409,-1,4;4493,-1,5;4577,-1,6;4661,-1,7;4745,-1,8;4829,-1,9;4913,-1,10;4997,-1,11;5081,-1,12;5165,-1,13;5249,-1,14;5333,-1,15;5417,-1,16;5501,-1,17;5585,-1,18;5669,-1,19;5753,-1,20;5837,-1,21;5921,-1,22;6005,-1,23;6089,-1,24;6173,-1,25;6257,-1,26;6341,-1,27;6425,-1,28;6509,-1,29;6593,-1,30;6677,-1,31;6761,-1,32;6845,-1,33;6929,-1,34;7013,-1,35;7097,-1,36;7181,-1,37;7265,-1,38;7349,-1,39;7433,-1,40;7517,-1,41;7601,-1,42;7685,-1,43;7769,-1,44;7853,-1,45;7937,-1,46;8021,-1,47;8105,-1,48;8189,-1,49;8273,-1,50;8357,-1,51;8441,-1,52;8525,-1,53;8609,-1,54;8693,-1,55;8777,-1,56;8861,-1,57;8945,-1,58;9029,-1,59;9113,-1,60;9197,-1,61;9281,-1,62;9365,-1,63;9449,-1,64;9533,-1,65;9617,-1,66;9701,-1,67;9785,-1,68;9869,-1,69;9953,-1,70;10037,-1,71;10121,-1,72;10205,-1,73;10289,-1,74;10373,-1,75;10457,-1,76;10541,-1,77;10625,-1,78;10709,-1,79;10793,-1,80;10877,-1,81;10961,-1,82;11045,-1,83;11129,-1,84;11213,-1,85;11297,-1,86;11381,-1,87;11465,-1,88;11549,-1,89;11633,-1,90;11717,-1,91;11801,-1,92;11885,-1,93;11969,-1,94;12053,-1,95;12137,-1,96;12221,-1,97;12305,-1,98;12389,-1,99;12473,-1,100;12557,-1,101;12641,-1,102;12725,-1,103;12809,-1,104;12893,-1,105;12977,-1,106;13061,-1,107;13145,-1,108;13229,-1,109;13313,-1,110;
1730,-1,0;1646,-1,1;1562,-1,2;1478,-1,3;1394,-1,4;1310,-1,5;1226,-1,6;1142,-1,7;1058,-1,8;974,-1,9;890,-1,10;806,-1,11;722,-1,12;638,-1,13;554,-1,14;470,-1,15;386,-1,16;302,-1,17;218,-1,18;134,-1,19;218,-1,20;302,-1,21;386,-1,22;470,-1,23;554,-1,24;638,-1,25;722,-1,26;806,-1,27;890,-1,28;974,-1,29;1058,-1,30;1142,-1,31;1226,-1,32;1310,-1,33;1394,-1,34;1478,-1,35;1562,-1,36;1646,-1,37;1730,-1,38;1814,-1,39;1898,-1,40;1982,-1,41;2066,-1,42;2150,-1,43;2234,-1,44;2318,-1,45;2402,-1,46;2486,-1,47;2570,-1,48;2654,-1,49;2738,-1,50;2822,-1,51;2906,-1,52;2990,-1,53;3074,-1,54;3158,-1,55;3242,-1,56;3326,-1,57;3410,-1,58;3494,-1,59;3578,-1,60;3662,-1,61;3746,-1,62;3830,-1,63;3914,-1,64;3998,-1,65;4082,-1,66;4166,-1,67;4250,-1,68;4334,-1,69;4418,-1,70;4502,-1,71;4586,-1,72;4670,-1,73;4754,-1,74;4838,-1,75;4922,-1,76;5006,-1,77;5090,-1,78;5174,-1,79;5258,-1,80;5342,-1,81;5426,-1,82;5510,-1,83;5594,-1,84;5678,-1,85;5762,-1,86;5846,-1,87;5930,-1,88;6014,-1,89;6098,-1,90;6182,-1,91;6266,-1,92;6350,-1,93;6434,-1,94;6518,-1,95;6602,-1,96;6686,-1,97;6770,-1,98;6854,-1,99;6938,-1,100;7022,-1,101;7106,-1,102;7190,-1,103;7274,-1,104;7358,-1,105;7442,-1,106;7526,-1,107;7610,-1,108;7694,-1,109;7778,-1,110;
1197,-1,0;1281,-1,1;1365,-1,2;1449,-1,3;1533,-1,4;1617,-1,5;1701,-1,6;1785,-1,7;1869,-1,8;1953,-1,9;2037,-1,10;2121,-1,11;2205,-1,12;2289,-1,13;2373,-1,14;2457,-1,15;2541,-1,16;2625,-1,17;2709,-1,18;2793,-1,19;2877,-1,20;2961,-1,21;3045,-1,22;3129,-1,23;3213,-1,24;3297,-1,25;3381,-1,26;3465,-1,27;3549,-1,28;3633,-1,29;3717,-1,30;3801,-1,31;3885,-1,32;3969,-1,33;4053,-1,34;4137,-1,35;4221,-1,36;4305,-1,37;4389,-1,38;4473,-1,39;4557,-1,40;4641,-1,41;4725,-1,42;4809,-1,43;4893,-1,44;4977,-1,45;5061,-1,46;5145,-1,47;5229,-1,48;5313,-1,49;5397,-1,50;5481,-1,51;5565,-1,52;5649,-1,53;5733,-1,54;5817,-1,55;5901,-1,56;5985,-1,57;6069,-1,58;6153,-1,59;6152,-1,60;6151,-1,61;6150,-1,62;6234,-1,63;6318,-1,64;6402,-1,65;6486,-1,66;6570,-1,67;6654,-1,68;6738,-1,69;6822,-1,70;6906,-1,71;6990,-1,72;7074,-1,73;7158,-1,74;7242,-1,75;7326,-1,76;7410,-1,77;7494,-1,78;7578,-1,79;7662,-1,80;7746,-1,81;7830,-1,82;7914,-1,83;7998,-1,84;8082,-1,85;8166,-1,86;8165,-1,87;8249,-1,88;8333,-1,89;8417,-1,90;8501,-1,91;8585,-1,92;8669,-1,93;8753,-1,94;8837,-1,95;8921,-1,96;9005,-1,97;9089,-1,98;9173,-1,99;9257,-1,100;9341,-1,101;9425,-1,102;9509,-1,103;9593,-1,104;9677,-1,105;9761,-1,106;9845,-1,107;9929,-1,108;10013,-1,109;10097,-1,110;
13605,-1,0;13521,-1,1;13437,-1,2;13353,-1,3;13269,-1,4;13185,-1,5;13101,-1,6;13017,-1,7;12933,-1,8;12849,-1,9;12765,-1,10;12681,-1,11;12597,-1,12;12513,-1,13;12429,-1,14;12345,-1,15;12261,-1,16;12177,-1,17;12093,-1,18;12009,-1,19;11925,-1,20;11841,-1,21;11757,-1,22;11673,-1,23;11589,-1,24;11505,-1,25;11421,-1,26;11337,-1,27;11253,-1,28;11169,-1,29;11085,-1,30;11001,-1,31;10917,-1,32;10833,-1,33;10749,-1,34;10665,-1,35;10581,-1,36;10497,-1,37;10413,-1,38;10329,-1,39;10245,-1,40;10161,-1,41;10077,-1,42;9993,-1,43;9909,-1,44;9825,-1,45;9741,-1,46;9657,-1,47;9573,-1,48;9489,-1,49;9405,-1,50;9321,-1,51;9237,-1,52;9153,-1,53;9069,-1,54;8985,-1,55;8901,-1,56;8817,-1,57;8733,-1,58;8649,-1,59;8565,-1,60;8481,-1,61;8397,-1,62;8313,-1,63;8229,-1,64;8145,-1,65;8061,-1,66;7977,-1,67;7893,-1,68;7809,-1,69;7725,-1,70;7641,-1,71;7557,-1,72;7473,-1,73;7389,-1,74;7305,-1,75;7221,-1,76;7137,-1,77;7053,-1,78;6969,-1,79;6885,-1,80;6801,-1,81;6717,-1,82;6633,-1,83;6549,-1,84;6465,-1,85;6381,-1,86;6297,-1,87;6213,-1,88;6129,-1,89;6045,-1,90;5961,-1,91;5877,-1,92;5793,-1,93;5709,-1,94;5625,-1,95;5541,-1,96;5457,-1,97;5373,-1,98;5289,-1,99;5205,-1,100;5121,-1,101;5037,-1,102;4953,-1,103;4869,-1,104;4785,-1,105;4701,-1,106;4617,-1,107;4533,-1,108;4449,-1,109;4365,-1,110;
1022,-1,0;1106,-1,1;1190,-1,2;1274,-1,3;1358,-1,4;1442,-1,5;1526,-1,6;1610,-1,7;1694,-1,8;1778,-1,9;1862,-1,10;1946,-1,11;2030,-1,12;2114,-1,13;2198,-1,14;2282,-1,15;2366,-1,16;2450,-1,17;2534,-1,18;2618,-1,19;2702,-1,20;2786,-1,21;2870,-1,22;2954,-1,23;3038,-1,24;3122,-1,25;3206,-1,26;3290,-1,27;3374,-1,28;3458,-1,29;3542,-1,30;3626,-1,31;3710,-1,32;3794,-1,33;3878,-1,34;3962,-1,35;4046,-1,36;4130,-1,37;4214,-1,38;4298,-1,39;4382,-1,40;4466,-1,41;4550,-1,42;4634,-1,43;4718,-1,44;4802,-1,45;4886,-1,46;4970,-1,47;5054,-1,48;5138,-1,49;5222,-1,50;5306,-1,51;5390,-1,52;5474,-1,53;5558,-1,54;5642,-1,55;5726,-1,56;5810,-1,57;5894,-1,58;5978,-1,59;6062,-1,60;6146,-1,61;6230,-1,62;6314,-1,63;6398,-1,64;6482,-1,65;6566,-1,66;6650,-1,67;6734,-1,68;6818,-1,69;6902,-1,70;6986,-1,71;7070,-1,72;7154,-1,73;7238,-1,74;7322,-1,75;7406,-1,76;7490,-1,77;7574,-1,78;7658,-1,79;7742,-1,80;7826,-1,81;7910,-1,82;7994,-1,83;8078,-1,84;8162,-1,85;8246,-1,86;8330,-1,87;8414,-1,88;8498,-1,89;8582,-1,90;8666,-1,91;8750,-1,92;8834,-1,93;8918,-1,94;9002,-1,95;9086,-1,96;9170,-1,97;9254,-1,98;9338,-1,99;9422,-1,100;9506,-1,101;9590,-1,102;9674,-1,103;9758,-1,104;9842,-1,105;9926,-1,106;10010,-1,107;10094,-1,108;10178,-1,109;10262,-1,110;
13491,-1,0;13490,-1,1;13489,-1,2;13405,-1,3;13321,-1,4;13237,-1,5;13153,-1,6;13069,-1,7;12985,-1,8;12901,-1,9;12817,-1,10;12733,-1,11;12649,-1,12;12565,-1,13;12481,-1,14;12397,-1,15;12313,-1,16;12229,-1,17;12145,-1,18;12061,-1,19;11977,-1,20;11893,-1,21;11809,-1,22;11725,-1,23;11641,-1,24;11557,-1,25;11473,-1,26;11389,-1,27;11305,-1,28;11221,-1,29;11137,-1,30;11053,-1,31;10969,-1,32;10885,-1,33;10801,-1,34;10717,-1,35;10633,-1,36;10549,-1,37;10465,-1,38;10381,-1,39;10297,-1,40;10213,-1,41;10129,-1,42;10045,-1,43;9961,-1,44;9877,-1,45;9793,-1,46;9709,-1,47;9625,-1,48;9541,-1,49;9457,-1,50;9373,-1,51;9289,-1,52;9205,-1,53;9121,-1,54;9037,-1,55;8953,-1,56;8869,-1,57;8785,-1,58;8701,-1,59;8617,-1,60;8533,-1,61;8449,-1,62;8365,-1,63;8281,-1,64;8197,-1,65;8113,-1,66;8029,-1,67;7945,-1,68;7861,-1,69;7777,-1,70;7693,-1,71;7609,-1,72;7525,-1,73;7441,-1,74;7357,-1,75;7273,-1,76;7189,-1,77;7105,-1,78;7021,-1,79;6937,-1,80;6853,-1,81;6769,-1,82;6685,-1,83;6601,-1,84;6517,-1,85;6433,-1,86;6349,-1,87;6265,-1,88;6181,-1,89;6097,-1,90;6013,-1,91;5929,-1,92;5845,-1,93;5761,-1,94;5677,-1,95;5593,-1,96;5509,-1,97;5425,-1,98;5341,-1,99;5257,-1,100;5173,-1,101;5089,-1,102;5005,-1,103;4921,-1,104;4837,-1,105;4753,-1,106;4669,-1,107;4585,-1,108;4501,-1,109;4417,-1,110;
6613,-1,0;6697,-1,1;6781,-1,2;6865,-1,3;6949,-1,4;7033,-1,5;7117,-1,6;7201,-1,7;7285,-1,8;7369,-1,9;7453,-1,10;7537,-1,11;7621,-1,12;7705,-1,13;7789,-1,14;7873,-1,15;7957,-1,16;8041,-1,17;8125,-1,18;8209,-1,19;8293,-1,20;8377,-1,21;8461,-1,22;8545,-1,23;8629,-1,24;8713,-1,25;8797,-1,26;8881,-1,27;8965,-1,28;9049,-1,29;9133,-1,30;9217,-1,31;9301,-1,32;9385,-1,33;9469,-1,34;9553,-1,35;9637,-1,36;9721,-1,37;9805,-1,38;9889,-1,39;9973,-1,40;10057,-1,41;10141,-1,42;10225,-1,43;10309,-1,44;10393,-1,45;10477,-1,46;10561,-1,47;10645,-1,48;10729,-1,49;10813,-1,50;10897,-1,51;10981,-1,52;11065,-1,53;11149,-1,54;11233,-1,55;11317,-1,56;11401,-1,57;11485,-1,58;11569,-1,59;11653,-1,60;11737,-1,61;11821,-1,62;11905,-1,63;11989,-1,64;12073,-1,65;12157,-1,66;12241,-1,67;12325,-1,68;12409,-1,69;12493,-1,70;12577,-1,71;12661,-1,72;12745,-1,73;12829,-1,74;12913,-1,75;12997,-1,76;13081,-1,77;13165,-1,78;13249,-1,79;13333,-1,80;13417,-1,81;13501,-1,82;13585,-1,83;13669,-1,84;13753,-1,85;13837,-1,86;13921,-1,87;14005,-1,88;14089,-1,89;14173,-1,90;14174,-1,91;14175,-1,92;14176,-1,93;14177,-1,94;14178,-1,95;14179,-1,96;14180,-1,97;14181,-1,98;14182,-1,99;14183,-1,100;14184,-1,101;14185,-1,102;14186,-1,103;14187,-1,104;14188,-1,105;14189,-1,106;14190,-1,107;14191,-1,108;14192,-1,109;14193,-1,110;
