50
2068,0,;136,-1,;
9231,0,;14138,-1,;
5721,0,;93,-1,;
7909,0,;14177,-1,;
1978,0,;130,-1,;
9289,0,;14128,-1,;
2293,0,;109,-1,;
13055,0,;14149,-1,;
3642,0,;114,-1,;
9842,0,;14139,-1,;
12946,0,;94,-1,;
12753,0,;14183,-1,;
6881,0,;161,-1,;
12165,0,;14116,-1,;
10645,0,;145,-1,;
1102,0,;14194,-1,;
2088,0,;156,-1,;
2857,0,;14156,-1,;
8171,0,;106,-1,;
2841,0,;14179,-1,;
1335,0,;159,-1,;
3490,0,;14165,-1,;
1185,0,;92,-1,;
2810,0,;14175,-1,;
900,0,;144,-1,;
2805,0,;14157,-1,;
5654,0,;110,-1,;
3830,0,;14180,-1,;
13579,0,;138,-1,;
7493,0,;14123,-1,;
7722,0,;162,-1,;
1743,0,;14160,-1,;
5566,0,;105,-1,;
6151,0,;14128,-1,;
1420,0,;160,-1,;
10084,0,;14155,-1,;
13970,0,;111,-1,;
4282,0,;14125,-1,;
6050,0,;86,-1,;
3538,0,;14127,-1,;
4437,0,;153,-1,;
9793,0,;14192,-1,;
8088,0,;108,-1,;
4422,0,;14187,-1,;
309,0,;141,-1,;14128,-1,;
1423,0,;14137,-1,;
12477,0,;129,-1,;
13026,0,;14162,-1,;
11138,0,;134,-1,;
8151,0,;14133,-1,;
