map,solver,k,w,h,seed,status,runtime,throughput,avg_collisions,wall_time
warehouse,PBS,80,20,3,1,disconnected_graph,,0,,
warehouse,PBS,80,20,3,2,disconnected_graph,,0,,
warehouse,PBS,80,20,3,3,disconnected_graph,,0,,
warehouse,PBS,80,20,5,1,disconnected_graph,,0,,
warehouse,PBS,80,20,5,2,disconnected_graph,,0,,
warehouse,PBS,80,20,5,3,disconnected_graph,,0,,
warehouse,PBS,80,20,8,1,disconnected_graph,,0,,
warehouse,PBS,80,20,8,2,disconnected_graph,,0,,
warehouse,PBS,80,20,8,3,disconnected_graph,,0,,
warehouse,PBS,80,40,3,1,disconnected_graph,,0,,
warehouse,PBS,80,40,3,2,disconnected_graph,,0,,
warehouse,PBS,80,40,3,3,disconnected_graph,,0,,
warehouse,PBS,80,40,5,1,disconnected_graph,,0,,
warehouse,PBS,80,40,5,2,disconnected_graph,,0,,
warehouse,PBS,80,40,5,3,disconnected_graph,,0,,
warehouse,PBS,80,40,8,1,disconnected_graph,,0,,
warehouse,PBS,80,40,8,2,disconnected_graph,,0,,
warehouse,PBS,80,40,8,3,disconnected_graph,,0,,
warehouse,PBS,80,60,3,1,disconnected_graph,,0,,
warehouse,PBS,80,60,3,2,disconnected_graph,,0,,
warehouse,PBS,80,60,3,3,disconnected_graph,,0,,
warehouse,PBS,80,60,5,1,disconnected_graph,,0,,
warehouse,PBS,80,60,5,2,disconnected_graph,,0,,
warehouse,PBS,80,60,5,3,disconnected_graph,,0,,
warehouse,PBS,80,60,8,1,disconnected_graph,,0,,
warehouse,PBS,80,60,8,2,disconnected_graph,,0,,
warehouse,PBS,80,60,8,3,disconnected_graph,,0,,
warehouse,WHCA,80,20,3,1,timeout,,0,,
warehouse,WHCA,80,20,3,2,success,3.5177209722222225,36,0.0,135.3406732082367
warehouse,WHCA,80,20,3,3,success,120.001,1,0.0,128.5495638847351
warehouse,WHCA,80,20,5,1,timeout,,0,,
warehouse,WHCA,80,20,5,2,success,5.658844681818182,22,0.0,140.97140908241272
warehouse,WHCA,80,20,5,3,success,120.0,1,0.0,131.68428897857666
warehouse,WHCA,80,20,8,1,success,120.001,1,0.0,130.6134397983551
