map,solver,w,h,throughput,runtime,avg_collisions,success_rate
warehouse_optimized,ECBS,15,5,300.0,0.6509332066666667,0.48,1.0
warehouse_optimized,ECBS,15,10,150.0,0.6596006933333333,0.5933333333333334,1.0
warehouse_optimized,ECBS,15,15,100.0,0.67027288,0.58,1.0
warehouse_optimized,ECBS,40,10,150.0,1.5475918666666666,0.3933333333333333,1.0
warehouse_optimized,ECBS,40,15,100.0,1.6006928000000002,0.5,1.0
warehouse_optimized,ECBS,40,20,75.0,1.5987244,0.28,1.0
warehouse_optimized,ECBS,40,25,60.0,1.5894795,0.45,1.0
warehouse_optimized,ECBS,40,30,50.0,1.5812412,0.42,1.0
warehouse_optimized,ECBS,50,15,100.0,1.9488198999999997,0.43,1.0
warehouse_optimized,ECBS,50,20,75.0,2.1312621333333333,0.4,1.0
warehouse_optimized,ECBS,50,25,60.0,2.023078,0.55,1.0
warehouse_optimized,ECBS,50,30,50.0,2.0152528000000003,0.52,1.0
warehouse_optimized,ECBS,60,15,100.0,2.4326409,0.39,1.0
warehouse_optimized,ECBS,60,20,75.0,2.3641476000000003,0.36,1.0
warehouse_optimized,ECBS,60,25,60.0,2.3916768333333334,0.3,1.0
warehouse_optimized,ECBS,60,30,50.0,2.3862234,0.34,1.0
warehouse_optimized,ECBS,70,20,75.0,2.7800469333333333,0.4266666666666667,1.0
warehouse_optimized,ECBS,70,25,60.0,2.7458651666666665,0.4,1.0
warehouse_optimized,ECBS,70,30,50.0,2.7459228,0.56,1.0
warehouse_optimized,ECBS,80,20,75.0,3.445503866666667,0.44,1.0
warehouse_optimized,ECBS,80,25,60.0,3.6867363333333327,0.48333333333333334,1.0
warehouse_optimized,ECBS,80,30,50.0,3.4057581999999997,0.4,1.0
warehouse_optimized,PBS,15,5,300.0,0.16165626333333333,6.41,1.0
warehouse_optimized,PBS,15,10,150.0,0.16132656666666667,6.82,1.0
warehouse_optimized,PBS,15,15,100.0,0.17610572000000002,7.83,1.0
warehouse_optimized,PBS,40,5,300.0,0.2047651533333333,16.43,1.0
warehouse_optimized,PBS,40,10,150.0,0.21231604666666665,17.293333333333333,1.0
warehouse_optimized,PBS,40,15,100.0,0.22625420999999998,17.49,1.0
warehouse_optimized,PBS,40,20,75.0,0.24017635999999995,18.213333333333335,1.0
warehouse_optimized,PBS,40,25,60.0,0.2565159,18.1,1.0
warehouse_optimized,PBS,40,30,50.0,0.28886724,18.92,1.0
warehouse_optimized,PBS,50,5,300.0,0.21569483333333334,18.253333333333334,1.0
warehouse_optimized,PBS,50,10,150.0,0.2709981066666667,20.64666666666667,1.0
